id,category,class,repeat,question,expected_entity,expects_grounding,expects_measured,expects_out_of_model,run_dir,groundedness,measuredness,concreteness,calls,unique_calls,duplicate_calls,artifacts_csv,artifacts_png,confidence,self_confidence,wasted_calls,index_usage,selection_correctness,tool_error_rate,self_correction,per_block_grounding,artifact_discipline,confidence_calibration,ptr_quality,hyp_supported,hyp_refuted,hyp_inconclusive,hyp_abandoned,hyp_total,hyp_supported_rate,hyp_refuted_rate,hyp_inconclusive_rate,elapsed,D1,D2,D3,D4,composite
q01_block_603_development,A,A,1,Что нужно разместить в квартале 603?,603,True,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004409-2425fc,1.0,0,1,10,10,0,5,4,0.62,0.9,0,0,0.25,0.0,0,1.0,0.5,0.62,1.0,1,3,1,0,5,0.2,0.6,0.2,48.1021092000301,1.0,0.75,0.5555555555555556,0.724,0.7573888888888889
q01_block_603_development,A,A,2,Что нужно разместить в квартале 603?,603,True,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004457-78dc05,1.0,0,1,10,10,0,5,5,0.78,0.9,0,0,0.0,0.0,0,1.0,0.33333333333333337,0.78,1.0,3,2,0,0,5,0.6,0.4,0.0,39.545272000017576,1.0,0.6666666666666666,0.5185185185185186,0.756,0.7352962962962963
q01_block_603_development,A,A,3,Что нужно разместить в квартале 603?,603,True,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004536-8a6c19,1.0,0,1,11,11,0,5,5,0.78,0.9,0,0,0.25,0.0,0,1.0,0.33333333333333337,0.78,1.0,3,2,0,0,5,0.6,0.4,0.0,21.10911750001833,1.0,0.75,0.5185185185185186,0.756,0.7561296296296296
q02_block_7_needs,A,A,1,Чего не хватает в квартале 7?,7,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004557-c3ba06,1.0,0,1,11,11,0,5,5,0.55,0.9,0,0,0.5,0.0,0,1.0,0.33333333333333337,0.55,1.0,0,5,0,0,5,0.0,1.0,0.0,23.831969599996228,1.0,0.8333333333333334,0.5185185185185186,0.71,0.765462962962963
q02_block_7_needs,A,A,2,Чего не хватает в квартале 7?,7,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004621-48123b,1.0,0,1,10,10,0,5,5,0.78,0.9,0,0,0.0,0.0,0,1.0,0.33333333333333337,0.78,1.0,0,5,0,0,5,0.0,1.0,0.0,20.809986800013576,1.0,0.6666666666666666,0.5185185185185186,0.756,0.7352962962962963
q02_block_7_needs,A,A,3,Чего не хватает в квартале 7?,7,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004642-b8aab6,1.0,0,1,11,11,0,5,5,0.78,0.9,0,0,0.5,0.0,0,1.0,0.33333333333333337,0.78,1.0,0,5,0,0,5,0.0,1.0,0.0,21.387116500001866,1.0,0.8333333333333334,0.5185185185185186,0.756,0.7769629629629631
q03_block_711_provision,A,A,1,Какова обеспеченность квартала 711 сервисами?,711,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004703-29a4de,1.0,0,1,10,10,0,5,5,0.78,0.9,0,0,0.0,0.0,0,1.0,0.33333333333333337,0.78,1.0,4,1,0,0,5,0.8,0.2,0.0,29.22256640001433,1.0,0.6666666666666666,0.5185185185185186,0.756,0.7352962962962963
q03_block_711_provision,A,A,2,Какова обеспеченность квартала 711 сервисами?,711,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004733-3be66e,1.0,0,1,10,10,0,5,5,0.78,0.9,0,0,0.0,0.0,0,1.0,0.33333333333333337,0.78,1.0,3,2,0,0,5,0.6,0.4,0.0,27.501628300000448,1.0,0.6666666666666666,0.5185185185185186,0.756,0.7352962962962963
q03_block_711_provision,A,A,3,Какова обеспеченность квартала 711 сервисами?,711,True,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004800-236c50,1.0,0,1,9,9,0,4,4,0.78,0.9,0,0,0.5,0.0,0,1.0,0.6666666666666667,0.78,1.0,1,3,0,0,4,0.25,0.75,0.0,25.771439099975396,1.0,0.8333333333333334,0.5925925925925927,0.756,0.7954814814814815
q04_city_hotel_placement,B,B,1,Где разместить новые гостиницы?,hotel,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004826-dd9bc0,1.0,0,1,7,7,0,5,5,0.78,0.9,0,0,0.25,0.0,0,1.0,0.33333333333333337,0.78,1.0,2,3,0,0,5,0.4,0.6,0.0,36.09814560000086,1.0,0.75,0.5185185185185186,0.756,0.7561296296296296
q04_city_hotel_placement,B,B,2,Где разместить новые гостиницы?,hotel,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004902-6d5650,1.0,0,1,7,7,0,3,3,0.78,0.8,0,0,0.0,0.0,0,1.0,1.0,0.78,1.0,2,2,0,0,4,0.5,0.5,0.0,24.330659099970944,1.0,0.6666666666666666,0.6666666666666666,0.756,0.7723333333333333
q04_city_hotel_placement,B,B,3,Где разместить новые гостиницы?,hotel,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004926-953a66,1.0,0,1,5,5,0,3,3,0.78,0.8,0,0,0.0,0.0,0,1.0,1.0,0.78,1.0,1,3,0,0,4,0.25,0.75,0.0,30.968967699969653,1.0,0.6666666666666666,0.6666666666666666,0.756,0.7723333333333333
q05_city_pitch_placement,B,B,1,Где разместить спортивные площадки?,pitch,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-004957-4328ec,1.0,0,1,7,7,0,4,4,0.78,0.8,0,0,0.25,0.0,0,1.0,0.6666666666666667,0.78,1.0,0,4,0,0,4,0.0,1.0,0.0,42.33168190001743,1.0,0.75,0.5925925925925927,0.756,0.7746481481481482
q05_city_pitch_placement,B,B,2,Где разместить спортивные площадки?,pitch,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-005040-6ca242,1.0,0,0,7,7,0,3,3,0.78,0.8,0,0,0.0,0.0,0,1.0,1.0,0.78,1.0,0,4,0,0,4,0.0,1.0,0.0,25.12156540004071,0.5,0.6666666666666666,0.6666666666666666,0.556,0.5973333333333333
q05_city_pitch_placement,B,B,3,Где разместить спортивные площадки?,pitch,False,True,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-005105-88fd96,0.0,0,0,5,5,0,4,4,0.55,0.8,0,0,0.25,0.0,0,0.0,0.6666666666666667,0.44999999999999996,1.0,1,1,3,0,5,0.2,0.2,0.6,46.640752299979795,1.0,0.75,0.3703703703703704,0.29,0.6025925925925926
q06_city_pharmacy_gaps,B,B,1,Где не хватает аптек?,pharmacy,False,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-005151-152477,1.0,0,0,5,5,0,5,5,0.45,0.9,0,0,0.5,0.0,0,1.0,0.33333333333333337,0.44999999999999996,0.5,0,0,5,0,5,0.0,0.0,1.0,27.07760740001686,1.0,0.8333333333333334,0.5185185185185186,0.39,0.685462962962963
q06_city_pharmacy_gaps,B,B,2,Где не хватает аптек?,pharmacy,False,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-005219-ab03ca,1.0,1,1,8,8,0,6,4,0.78,0.9,1,0,1.0,0.125,1,1.0,0.33333333333333337,0.78,1.0,0,4,0,0,4,0.0,1.0,0.0,364.2843885999755,1.0,0.9583333333333334,0.8240740740740741,0.9560000000000001,0.9346018518518519
q06_city_pharmacy_gaps,B,B,3,Где не хватает аптек?,pharmacy,False,False,False,p:\AI_asistent\ITMO\blocksnet-agent\outputs\run_20260617-005823-0f1f8e,1.0,1,0,5,5,0,3,3,0.55,0.9,0,0,0.5,0.0,0,1.0,1.0,0.55,1.0,1,3,0,0,4,0.25,0.75,0.0,57.32878720003646,1.0,0.8333333333333334,0.8888888888888888,0.71,0.8580555555555556
